"IPAddress","Port","User","BindType"
"172.17.91.1","60125","IHLE\compdata","Simple"
"172.17.91.1","60113","IHLE\compdata","Simple"
"172.17.91.1","60112","IHLE\compdata","Simple"
"172.17.91.1","60111","IHLE\compdata","Simple"
"172.17.91.1","60110","IHLE\compdata","Simple"
"172.17.91.1","60109","IHLE\compdata","Simple"
"172.17.91.1","60044","IHLE\compdata","Simple"
"172.17.91.1","60043","IHLE\compdata","Simple"
"172.17.91.1","60042","IHLE\compdata","Simple"
"172.17.91.1","60041","IHLE\compdata","Simple"
"172.17.91.1","60040","IHLE\compdata","Simple"
"172.17.91.1","60033","IHLE\compdata","Simple"
"172.17.91.1","60032","IHLE\compdata","Simple"
"172.17.91.1","60031","IHLE\compdata","Simple"
"172.17.91.1","60030","IHLE\compdata","Simple"
"172.17.91.1","60029","IHLE\compdata","Simple"
"172.17.91.1","60021","IHLE\compdata","Simple"
"172.17.91.1","60020","IHLE\compdata","Simple"
"172.17.91.1","60019","IHLE\compdata","Simple"
"172.17.91.1","60018","IHLE\compdata","Simple"
"172.17.91.1","60017","IHLE\compdata","Simple"
"172.17.91.1","60010","IHLE\compdata","Simple"
"172.17.91.1","60008","IHLE\compdata","Simple"
"172.17.91.1","60007","IHLE\compdata","Simple"
"172.17.91.1","60006","IHLE\compdata","Simple"
"172.17.91.1","60005","IHLE\compdata","Simple"
"172.17.91.1","59983","IHLE\compdata","Simple"
"172.17.91.1","59982","IHLE\compdata","Simple"
"172.17.91.1","59981","IHLE\compdata","Simple"
"172.17.91.1","59980","IHLE\compdata","Simple"
"172.17.91.1","59978","IHLE\compdata","Simple"
"172.17.91.1","59956","IHLE\compdata","Simple"
"172.17.91.1","59955","IHLE\compdata","Simple"
"172.17.91.1","59954","IHLE\compdata","Simple"
"172.17.91.1","59953","IHLE\compdata","Simple"
"172.17.91.1","59952","IHLE\compdata","Simple"
"172.17.91.1","59949","IHLE\compdata","Simple"
"172.17.91.1","59948","IHLE\compdata","Simple"
"172.17.91.1","59947","IHLE\compdata","Simple"
"172.17.91.1","59946","IHLE\compdata","Simple"
"172.17.91.1","59945","IHLE\compdata","Simple"
"172.17.91.1","59907","IHLE\compdata","Simple"
"172.17.91.1","59906","IHLE\compdata","Simple"
"172.17.91.1","59905","IHLE\compdata","Simple"
"172.17.91.1","59904","IHLE\compdata","Simple"
"172.17.91.1","59903","IHLE\compdata","Simple"
"172.17.91.1","59872","IHLE\compdata","Simple"
"172.17.91.1","59871","IHLE\compdata","Simple"
"172.17.91.1","59870","IHLE\compdata","Simple"
"172.17.91.1","59869","IHLE\compdata","Simple"
"172.17.91.1","59868","IHLE\compdata","Simple"
"172.17.91.1","59863","IHLE\compdata","Simple"
"172.17.91.1","59862","IHLE\compdata","Simple"
"172.17.91.1","59861","IHLE\compdata","Simple"
"172.17.91.1","59860","IHLE\compdata","Simple"
"172.17.91.1","59859","IHLE\compdata","Simple"
"172.17.91.1","59850","IHLE\compdata","Simple"
"172.17.91.1","59849","IHLE\compdata","Simple"
"172.17.91.1","59848","IHLE\compdata","Simple"
"172.17.91.1","59847","IHLE\compdata","Simple"
"172.17.91.1","59845","IHLE\compdata","Simple"
"172.17.91.1","59793","IHLE\compdata","Simple"
"172.17.91.1","59792","IHLE\compdata","Simple"
"172.17.91.1","59791","IHLE\compdata","Simple"
